column_name,role,definition,unit_or_format,missing_policy
row_key,identifier,ticker + fiscal_year; unique row key,,Preserve as supplied; no imputation was applied in this handoff.
ticker,identifier,TSE/Fara Bourse ticker symbol,,Preserve as supplied; no imputation was applied in this handoff.
company_name,metadata,Company name,,Preserve as supplied; no imputation was applied in this handoff.
industry,categorical_feature_candidate,Industry classification text; encoding decision is deferred to modeling,,Preserve as supplied; no imputation was applied in this handoff.
fiscal_year,time_key,Solar Hijri fiscal year,year,Preserve as supplied; no imputation was applied in this handoff.
fiscal_year_end,metadata,Fiscal-year-end date as reported,,Preserve as supplied; no imputation was applied in this handoff.
unit,metadata,Unit of raw financial-statement amounts,,Preserve as supplied; no imputation was applied in this handoff.
total_assets,raw_feature,Total assets,million IRR,Preserve as supplied; no imputation was applied in this handoff.
total_liabilities,raw_feature,Total liabilities,million IRR,Preserve as supplied; no imputation was applied in this handoff.
equity,raw_feature,Total equity,million IRR,Preserve as supplied; no imputation was applied in this handoff.
registered_capital,raw_feature,Registered capital,million IRR,Preserve as supplied; no imputation was applied in this handoff.
accumulated_loss,raw_feature,Accumulated loss / retained deficit as standardized,million IRR,Preserve as supplied; no imputation was applied in this handoff.
current_assets,raw_feature,Current assets,million IRR,Preserve as supplied; no imputation was applied in this handoff.
current_liabilities,raw_feature,Current liabilities,million IRR,Preserve as supplied; no imputation was applied in this handoff.
revenue_period_adjusted,raw_feature,Revenue adjusted to the canonical period where required,million IRR,Preserve as supplied; no imputation was applied in this handoff.
gross_profit_period_adjusted,raw_feature_optional,Gross profit adjusted to the canonical period; material missingness remains,million IRR,Do not fill automatically; handle only inside the modeling pipeline with a documented train-only strategy.
operating_profit_period_adjusted,raw_feature,Operating profit adjusted to the canonical period,million IRR,Preserve as supplied; no imputation was applied in this handoff.
net_income_period_adjusted,raw_feature,Net income adjusted to the canonical period,million IRR,Preserve as supplied; no imputation was applied in this handoff.
operating_cash_flow_period_adjusted,raw_feature_optional,Operating cash flow adjusted to the canonical period; unresolved values remain outside the training-candidate subset,million IRR,Do not fill automatically; handle only inside the modeling pipeline with a documented train-only strategy.
financial_expense_period_adjusted,raw_feature,Financial expense adjusted to the canonical period; expenses may be negative per source sign convention,million IRR,Preserve as supplied; no imputation was applied in this handoff.
leverage_ratio,ratio_feature,Total liabilities / total assets,ratio,Preserve as supplied; no imputation was applied in this handoff.
current_ratio,ratio_feature,Current assets / current liabilities,ratio,Preserve as supplied; no imputation was applied in this handoff.
roa_period_adjusted,ratio_feature,Period-adjusted net income / total assets,ratio,Preserve as supplied; no imputation was applied in this handoff.
roe_period_adjusted,ratio_feature,Period-adjusted net income / equity,ratio,Preserve as supplied; no imputation was applied in this handoff.
equity_ratio,ratio_feature,Equity / total assets,ratio,Preserve as supplied; no imputation was applied in this handoff.
ocf_to_assets_period_adjusted,ratio_feature_optional,Period-adjusted operating cash flow / total assets,ratio,Do not fill automatically; handle only inside the modeling pipeline with a documented train-only strategy.
financial_expense_to_assets_period_adjusted,ratio_feature,Period-adjusted financial expense / total assets,ratio,Preserve as supplied; no imputation was applied in this handoff.
profit_margin_period_adjusted,ratio_feature,Period-adjusted net income / revenue,ratio,Preserve as supplied; no imputation was applied in this handoff.
operating_margin_period_adjusted,ratio_feature,Period-adjusted operating profit / revenue,ratio,Preserve as supplied; no imputation was applied in this handoff.
