sample_design,predictor_row_key_t,target_row_key_t_plus_1,ticker,fiscal_year_t,target_year,predictor_join,target_join,ticker_identity_exact,t_to_t_plus_1_exact,assumed_available_at_regulatory_jalali,target_fiscal_year_end_t_plus_1_jalali,assumed_before_target_fiscal_year_end,timing_relation_violation,timing_eligible_for_analysis,timing_eligible_for_model,timing_exclusion_reason,target_value_source,financial_value_source,is_observed_publication_timestamp,row_silently_dropped
main_rule_a_primary,اردستان|1401,اردستان|1402,اردستان,1401,1402,one_to_one,one_to_one,true,true,1402-04-29,1402-12-29,true,false,true,true,,frozen_gate_b_pair_copy,frozen_stage123_predictor_row_copy,false,false
main_rule_a_primary,اپال|1400,اپال|1401,اپال,1400,1401,one_to_one,one_to_one,true,true,1401-02-30,1401-10-30,true,false,true,true,,frozen_gate_b_pair_copy,frozen_stage123_predictor_row_copy,false,false
main_rule_a_primary,اپال|1401,اپال|1402,اپال,1401,1402,one_to_one,one_to_one,true,true,1402-02-30,1402-10-30,true,false,true,true,,frozen_gate_b_pair_copy,frozen_stage123_predictor_row_copy,false,false
main_rule_a_primary,بالبر|1393,بالبر|1394,بالبر,1393,1394,one_to_one,one_to_one,true,true,1393-10-30,1394-06-31,true,false,true,true,,frozen_gate_b_pair_copy,frozen_stage123_predictor_row_copy,false,false
main_rule_a_primary,بالبر|1394,بالبر|1395,بالبر,1394,1395,one_to_one,one_to_one,true,true,1394-10-30,1395-06-31,true,false,true,true,,frozen_gate_b_pair_copy,frozen_stage123_predictor_row_copy,false,false
main_rule_a_primary,بالبر|1395,بالبر|1396,بالبر,1395,1396,one_to_one,one_to_one,true,true,1395-10-30,1396-06-31,true,false,true,true,,frozen_gate_b_pair_copy,frozen_stage123_predictor_row_copy,false,false
main_rule_a_primary,بالبر|1396,بالبر|1397,بالبر,1396,1397,one_to_one,one_to_one,true,true,1396-10-30,1397-06-31,true,false,true,true,,frozen_gate_b_pair_copy,frozen_stage123_predictor_row_copy,false,false
main_rule_a_primary,بالبر|1397,بالبر|1398,بالبر,1397,1398,one_to_one,one_to_one,true,true,1397-10-30,1398-06-31,true,false,true,true,,frozen_gate_b_pair_copy,frozen_stage123_predictor_row_copy,false,false
main_rule_a_primary,بالبر|1398,بالبر|1399,بالبر,1398,1399,one_to_one,one_to_one,true,true,1398-10-30,1399-06-31,true,false,true,true,,frozen_gate_b_pair_copy,frozen_stage123_predictor_row_copy,false,false
main_rule_a_primary,بالبر|1399,بالبر|1400,بالبر,1399,1400,one_to_one,one_to_one,true,true,1399-10-30,1400-06-31,true,false,true,true,,frozen_gate_b_pair_copy,frozen_stage123_predictor_row_copy,false,false
main_rule_a_primary,بالبر|1400,بالبر|1401,بالبر,1400,1401,one_to_one,one_to_one,true,true,1400-10-30,1401-06-31,true,false,true,true,,frozen_gate_b_pair_copy,frozen_stage123_predictor_row_copy,false,false
