claim_id,manuscript_section,scope,manuscript_claim,canonical_source_path,canonical_source_field_or_row,exact_committed_value,source_sha256,limitation_present,status
CTM-001,4 Data and Sample; 7 Temporal Validation,temporal_design,Development uses target years 1393-1399.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row development_target_years,1393-1399,07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,no,TRACED_EXACT_COMMITTED_VALUE
CTM-002,4 Data and Sample; 10 Final Test Results,final_test_cohort,The final evaluation uses target years 1400-1402.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row final_test_target_years,1400-1402,07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,no,TRACED_EXACT_COMMITTED_VALUE
CTM-003,4 Data and Sample,temporal_design,Fold 1 trains on target years 1393-1395 and validates on 1396-1397.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row temporal_validation_fold_1,"{""train_target_years"": [1393, 1394, 1395], ""validation_target_years"": [1396, 1397]}",07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,no,TRACED_EXACT_COMMITTED_VALUE
CTM-004,4 Data and Sample,temporal_design,Fold 2 trains on target years 1393-1397 and validates on 1398-1399.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row temporal_validation_fold_2,"{""train_target_years"": [1393, 1394, 1395, 1396, 1397], ""validation_target_years"": [1398, 1399]}",07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,no,TRACED_EXACT_COMMITTED_VALUE
CTM-005,4 Data and Sample; 7 Temporal Validation,temporal_design,The split variable is the fiscal target year.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row split_variable,target_year,07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,no,TRACED_EXACT_COMMITTED_VALUE
CTM-006,4 Data and Sample; 7 Temporal Validation,temporal_design,Random splitting was not authorised.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row random_split_authorized,false,07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,no,TRACED_EXACT_COMMITTED_VALUE
CTM-007,4 Data and Sample; 7 Temporal Validation,temporal_design,Shuffling was not authorised.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row shuffle_authorized,false,07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,no,TRACED_EXACT_COMMITTED_VALUE
CTM-008,4 Data and Sample,development_fit_set,The development fit set comprises 666 company-year rows.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row development_fit_set_rows,666,07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,no,TRACED_EXACT_COMMITTED_VALUE
CTM-009,4 Data and Sample,development_fit_set,The development fit set contains 68 positive rows.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row development_fit_set_positive,68,07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,no,TRACED_EXACT_COMMITTED_VALUE
CTM-010,4 Data and Sample,development_fit_set,The development fit set contains 598 negative rows.,project/stage130/manuscript_evidence_package/manuscript_results_tables/table_1_cohort_and_temporal_design.csv,row development_fit_set_negative,598,07717076b90b32af2e586ab687d45e4d86b24c008cc6fdba33a4b6dfcb7924e2,no,TRACED_EXACT_COMMITTED_VALUE
