variable_name,block,role,data_type,unit,temporal_reference,source_id,provenance_status,description
row_key,M1,identifier,string,,point_in_time_company_year,src_m1_stage123,in_use_frozen,Immutable Stage123 company-year primary key; unique across 1331 rows.
ticker,M1,identifier,string,,point_in_time_company_year,src_m1_stage123,in_use_frozen,Canonical TSE sample ticker; not redefined in Stage125.
fiscal_year,M1,identifier,integer,jalali_year,period,src_m1_stage123,in_use_frozen,Jalali fiscal year of the observation.
company_name,M1,identifier,string,,point_in_time_company_year,src_m1_codal_fs,in_use_partial_gap,"Company name; 7 rows missing (provenance gap, not imputed)."
industry,M1,identifier,string,,point_in_time_company_year,src_m1_codal_fs,in_use_partial_gap,"Industry label; 29 rows missing (provenance gap, not imputed)."
fiscal_year_end,M1,time,date,jalali_or_iso_date,period_end,src_m1_codal_fs,in_use_partial_gap,"Fiscal year-end date; 4 rows missing (provenance gap, not imputed)."
source_file,M1,provenance,string,,retrieval,src_m1_uploaded_xls,in_use_partial_gap,Local source statement file; 28 rows missing (provenance gap).
source_url,M1,provenance,string,,publication,src_m1_codal_fs,in_use_major_gap,"Public source URL; 1316 rows missing — recorded as provenance gap only, never used to change eligibility in Part 1."
audit_status_clean,M1,provenance,string,,publication,src_m1_codal_audit,in_use_partial_gap,Audit status label; 316 rows are audit_status_unknown.
total_assets,M1,financial_level,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
total_liabilities,M1,financial_level,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
equity,M1,financial_level,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
registered_capital,M1,financial_level,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
accumulated_loss,M1,financial_level,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
net_income_period_adjusted,M1,financial_level,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
operating_cash_flow_period_adjusted,M1,financial_level,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
leverage_ratio,M1,financial_ratio,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
current_ratio,M1,financial_ratio,numeric,irr_or_ratio,period,src_m1_codal_fs,in_use_frozen,"Frozen Stage123 financial variable; documented, never re-copied here."
