scope_row_id,predictor_row_key_t,current_binding_status,failure_reason,failure_layer,failure_class,evidence_source_path,evidence_source_sha256,observed_source_value,observed_canonical_value,normalization_safe,normalization_rule_id,requires_official_metadata,requires_network_capture,requires_human_adjudication,structural_rejection,resolution_candidate,resolution_status,notes
p3b1b_scope_006,ثنوسا|1392,UNRESOLVED,multi_document_predictor_row_requires_separate_adjudication,document_multiplicity,ambiguous_multiple_documents,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,,false,,false,true,true,false,true,requires_document_role_adjudication,
p3b1b_scope_006,ثنوسا|1392,UNRESOLVED,ticker_mismatch,ticker,missing_source_evidence,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,ثنوسا,false,,true,true,false,false,true,requires_official_symbol_metadata,source symbol was not exposed/preserved in the frozen Part 3B.1B evidence artifact; canonical ticker must not be copied into the source field
p3b1b_scope_006,ثنوسا|1392,UNRESOLVED,entity_mismatch,identity,normalization_only,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,نوسازي و ساختمان تهران,نوسازی و ساختمان تهران,true,arabic_yeh_to_persian_yeh,true,true,true,false,true,normalization_candidate,mechanical Yeh normalization candidate; does not create BOUND
p3b1b_scope_006,ثنوسا|1392,UNRESOLVED,statement_scope_mismatch,statement_scope,semantic_scope_conflict,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,separate/parent-company as supplied,separate_or_parent_only_indicated,false,,false,true,false,false,true,requires_scope_evidence,
p3b1b_scope_006,ثنوسا|1392,UNRESOLVED,separate_scope_required_but_not_met,statement_scope,semantic_scope_conflict,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,separate/parent-company as supplied,separate_or_parent_only_indicated,false,,false,true,false,false,true,requires_scope_evidence,
p3b1b_scope_006,ثنوسا|1392,UNRESOLVED,missing_official_title,canonical_metadata,missing_canonical_evidence,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,صورت‌های مالی 12 ماهه منتهی به  1392/06/31 (حسابرسی شده),,false,,true,true,false,false,true,requires_official_metadata,source title nonempty; canonical title empty
p3b1b_scope_006,ثنوسا|1392,UNRESOLVED,unknown_revision_status,revision_chain,revision_status_unproven,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,,false,,true,true,false,false,true,revision_status_unproven,absence of اصلاحیه does not prove original
p3b1b_scope_006,ثنوسا|1392,UNRESOLVED,canonical_source_version_not_provably_bound,document_version,missing_canonical_evidence,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,Ddg2e7HG6FGR5ygaTFJd4g==,Ddg2e7HG6FGR5ygaTFJd4g==,false,,false,true,false,false,true,requires_canonical_version_proof,
p3b1b_scope_006,ثنوسا|1392,UNRESOLVED,exact_document_binding_failed,exact_binding,downstream_binding_failure,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,,false,,false,true,false,false,true,downstream_of_prior_blockers,
p3b1b_scope_006,ثنوسا|1392,UNRESOLVED,official_metadata_not_exposed_by_direct_url,source_metadata,missing_source_evidence,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,,false,,true,true,false,false,true,requires_official_metadata,Decision.aspx without required official metadata cannot independently prove all binding dimensions
p3b1b_scope_006,ثنوسا|1392,UNRESOLVED,missing_publish_datetime,publication_time,publication_time_unavailable,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,,false,,true,true,false,false,true,requires_official_metadata,
p3b1b_scope_063,بوعلی|1399,UNRESOLVED,missing_canonical_letter_serial,canonical_metadata,missing_canonical_evidence,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,X1Tbq4+nahb6qy6UkUigkw==,,false,,false,true,false,false,true,requires_canonical_version_proof,
p3b1b_scope_063,بوعلی|1399,UNRESOLVED,incomplete_pagination_without_canonical_letter_serial,candidate_discovery,incomplete_snapshot,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,,false,,false,true,false,false,true,incomplete_snapshot_not_unique,incomplete cache cannot prove canonical uniqueness
p3b1b_scope_063,بوعلی|1399,UNRESOLVED,incomplete_cache_without_canonical_letter_serial,candidate_discovery,incomplete_snapshot,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,,false,,false,true,false,false,true,incomplete_snapshot_not_unique,incomplete cache cannot prove canonical uniqueness
p3b1b_scope_063,بوعلی|1399,UNRESOLVED,entity_mismatch,identity,structural_mismatch,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,پتروشیمی بوعلی سینا,شرکت پتروشیمی بوعلی سینا,false,,true,true,true,false,true,requires_alias_evidence,legal-form/prefix or missing canonical entity requires pinned alias or official metadata; not mechanically equivalent
p3b1b_scope_063,بوعلی|1399,UNRESOLVED,statement_scope_mismatch,statement_scope,semantic_scope_conflict,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,separate_or_parent_only_indicated,false,,false,true,false,false,true,requires_scope_evidence,
p3b1b_scope_063,بوعلی|1399,UNRESOLVED,separate_scope_required_but_not_met,statement_scope,semantic_scope_conflict,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,separate_or_parent_only_indicated,false,,false,true,false,false,true,requires_scope_evidence,
p3b1b_scope_063,بوعلی|1399,UNRESOLVED,letter_code_mismatch,identity,missing_source_evidence,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,,false,,true,true,false,false,true,letter_code_values_not_preserved_in_frozen_evidence,"The frozen failure token is retained, but exact LetterCode values were not preserved in the frozen Part 3B.1B evidence artifact. LetterSerial must not be substituted for LetterCode."
p3b1b_scope_063,بوعلی|1399,UNRESOLVED,missing_official_title,canonical_metadata,missing_canonical_evidence,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,صورت‌های مالی  سال مالی منتهی به ۱۳۹۹/۱۲/۳۰ (حسابرسی شده),,false,,true,true,false,false,true,requires_official_metadata,source title nonempty; canonical title empty
p3b1b_scope_063,بوعلی|1399,UNRESOLVED,unknown_revision_status,revision_chain,revision_status_unproven,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,,false,,true,true,false,false,true,revision_status_unproven,absence of اصلاحیه does not prove original
p3b1b_scope_063,بوعلی|1399,UNRESOLVED,canonical_source_version_not_provably_bound,document_version,missing_canonical_evidence,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,X1Tbq4+nahb6qy6UkUigkw==,,false,,false,true,false,false,true,requires_canonical_version_proof,
p3b1b_scope_063,بوعلی|1399,UNRESOLVED,exact_document_binding_failed,exact_binding,downstream_binding_failure,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,,false,,false,true,false,false,true,downstream_of_prior_blockers,
p3b1b_scope_072,بوعلی|1400,UNRESOLVED,missing_canonical_letter_serial,canonical_metadata,missing_canonical_evidence,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,AoU4UDrZexlj4Kd1iQszEw==,,false,,false,true,false,false,true,requires_canonical_version_proof,
p3b1b_scope_072,بوعلی|1400,UNRESOLVED,incomplete_pagination_without_canonical_letter_serial,candidate_discovery,incomplete_snapshot,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,,false,,false,true,false,false,true,incomplete_snapshot_not_unique,incomplete cache cannot prove canonical uniqueness
p3b1b_scope_072,بوعلی|1400,UNRESOLVED,incomplete_cache_without_canonical_letter_serial,candidate_discovery,incomplete_snapshot,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,,false,,false,true,false,false,true,incomplete_snapshot_not_unique,incomplete cache cannot prove canonical uniqueness
p3b1b_scope_072,بوعلی|1400,UNRESOLVED,entity_mismatch,identity,structural_mismatch,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,پتروشیمی بوعلی سینا,شرکت پتروشیمی بوعلی سینا,false,,true,true,true,false,true,requires_alias_evidence,legal-form/prefix or missing canonical entity requires pinned alias or official metadata; not mechanically equivalent
p3b1b_scope_072,بوعلی|1400,UNRESOLVED,statement_scope_mismatch,statement_scope,semantic_scope_conflict,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,separate_or_parent_only_indicated,false,,false,true,false,false,true,requires_scope_evidence,
p3b1b_scope_072,بوعلی|1400,UNRESOLVED,separate_scope_required_but_not_met,statement_scope,semantic_scope_conflict,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,separate_or_parent_only_indicated,false,,false,true,false,false,true,requires_scope_evidence,
p3b1b_scope_072,بوعلی|1400,UNRESOLVED,letter_code_mismatch,identity,missing_source_evidence,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,,,false,,true,true,false,false,true,letter_code_values_not_preserved_in_frozen_evidence,"The frozen failure token is retained, but exact LetterCode values were not preserved in the frozen Part 3B.1B evidence artifact. LetterSerial must not be substituted for LetterCode."
p3b1b_scope_072,بوعلی|1400,UNRESOLVED,missing_official_title,canonical_metadata,missing_canonical_evidence,project/stage125/part3b1b_codal_document_evidence_stage125.csv,b0ded2c9c084cfc8ca882c370b6437d3949af52e00297b3f3d30f80bd315f867,صورت‌های مالی  سال مالی منتهی به ۱۴۰۰/۱۲/۲۹ (حسابرسی شده),,false,,true,true,false,false,true,requires_official_metadata,source title nonempty; canonical title empty
