item,scope,committed_result,scientific_meaning,mandatory_limitation,canonical_source
source_panel_rows,upstream_source_panel,1331,Researcher-verified firm-year rows frozen before any modelling.,"Upstream source panel only; not the eligible pairs, the development fit set or the Final Test cohort.",project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: source_dimensions.rows
source_panel_companies,upstream_source_panel,130,Distinct companies represented in the upstream panel.,"Upstream source panel only; not the eligible pairs, the development fit set or the Final Test cohort.",project/stage122/stage122_qc_report.json :: n_companies_before
source_panel_fiscal_years_jalali,upstream_source_panel,1392-1402,Jalali fiscal years covered by the upstream panel.,Jalali labels; no Gregorian span is stated for the sample.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: structural_checks.year_counts
unique_row_keys,upstream_source_panel,1331,Every firm-year row carries a distinct primary key.,"Upstream source panel only; not the eligible pairs, the development fit set or the Final Test cohort.",project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: structural_checks.unique_key_count
duplicate_row_keys,upstream_source_panel,0,No firm-year is represented twice.,"Upstream source panel only; not the eligible pairs, the development fit set or the Final Test cohort.",project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: structural_checks.duplicate_key_count
missing_row_keys,upstream_source_panel,0,No row lacks its primary key.,"Upstream source panel only; not the eligible pairs, the development fit set or the Final Test cohort.",project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: structural_checks.missing_key_count
accounting_identity_rows_checked,upstream_source_panel,1312,Rows on which the balance-sheet identity could be evaluated.,Fewer than the panel total; the remaining rows were not evaluable.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: accounting_identity.rows_checked
accounting_identity_exact_matches,upstream_source_panel,1311,Rows reconciling exactly.,"Reconciliation is arithmetic agreement, not source re-audit.",project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: accounting_identity.exact_matches
accounting_identity_within_recorded_tolerance,upstream_source_panel,1,Rows reconciling within the recorded tolerance of 1 million IRR.,"Tolerance is a recorded rounding allowance, not an exact match.",project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: accounting_identity.rounding_tolerance_matches_abs_diff_le_1_million_irr
accounting_identity_failures,upstream_source_panel,0,No evaluable row failed the identity check.,Absence of failures is not a statement about unevaluable rows.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: accounting_identity.failures (empty list)
ratio_recalculation_leverage_ratio,upstream_source_panel,checked=1312; mismatches=0,The stored ratio reproduces from its stored components.,Coverage differs per family; unevaluable rows are not checked.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: ratio_recalculation_checks.leverage_ratio
ratio_recalculation_current_ratio,upstream_source_panel,checked=1312; mismatches=0,The stored ratio reproduces from its stored components.,Coverage differs per family; unevaluable rows are not checked.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: ratio_recalculation_checks.current_ratio
ratio_recalculation_equity_ratio,upstream_source_panel,checked=1312; mismatches=0,The stored ratio reproduces from its stored components.,Coverage differs per family; unevaluable rows are not checked.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: ratio_recalculation_checks.equity_ratio
ratio_recalculation_roa_period_adjusted,upstream_source_panel,checked=1312; mismatches=0,The stored ratio reproduces from its stored components.,Coverage differs per family; unevaluable rows are not checked.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/qc_report_stage121.json :: ratio_recalculation_checks.roa_period_adjusted
