column_name,definition,data_type,unit,column_role,model_eligibility,source_block,source_provider_or_author_derived,temporal_reference,missing_value_semantics,derivation_or_formula,authoritative_source_path,authoritative_source_field_or_section,definition_status,limitations
FD_target_article141_only,The stricter Article-141-oriented robustness target evaluated on the PREDICTOR year t.,three_valued_1_0_missing,not_applicable,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_derived_stage122_target_construction,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Three-valued: an unknown outcome stays unknown and is never converted to a healthy zero. Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.","stricter Article-141 robustness definition: modified three-valued OR(fd_article141_direct, fd_accumulated_loss); with 141 absent reduces to accumulated_loss>=50%. Robustness only.",project/stage122/target_definition_stage122.csv,"row criterion=FD_target_article141_only :: label, rule",committed_target_definition,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern. It is the SAME target construction as the t+1 outcome, one year earlier. Using it as a feature is a lagged-target design and must be declared as one; the role map forbids it by default."
FD_target_main,The composite operational financial-distress indicator evaluated on the PREDICTOR year t (not the outcome year).,three_valued_1_0_missing,not_applicable,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_derived_stage122_target_construction,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Three-valued: an unknown outcome stays unknown and is never converted to a healthy zero. Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",composite operational financial distress target: modified three-valued OR with non-blocking unavailable direct Article-141 evidence. 1 if any criterion definitely 1; 0 if all evaluable quantitative criteria definitely 0; missing otherwise. NOT an Article-141 target.,project/stage122/target_definition_stage122.csv,"row criterion=FD_target_main :: label, rule",committed_target_definition,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern. It is the SAME target construction as the t+1 outcome, one year earlier. Using it as a feature is a lagged-target design and must be declared as one; the role map forbids it by default."
FD_target_persistent_loss_robustness,The persistent-loss robustness target evaluated on the PREDICTOR year t.,three_valued_1_0_missing,not_applicable,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_derived_stage122_target_construction,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Three-valued: an unknown outcome stays unknown and is never converted to a healthy zero. Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.","robustness target (composite + 2-year persistent loss): modified three-valued OR(FD_target_main, two-consecutive-year net loss). Robustness only.",project/stage122/target_definition_stage122.csv,"row criterion=FD_target_persistent_loss_robustness :: label, rule",committed_target_definition,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern. It is the SAME target construction as the t+1 outcome, one year earlier. Using it as a feature is a lagged-target design and must be declared as one; the role map forbids it by default."
distressed_flag_source_reviewed,Documented source or rule behind the upstream reviewed distress flag for the predictor year t.,string,not_applicable,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_upstream_source_panel,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Preserved as supplied by the upstream panel; the Stage121 dictionary records missing_policy = 'Preserve as supplied; no imputation was applied in this handoff.' Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.","Documented source/rule for reviewed target, carried forward unchanged from the upstream panel.",project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=distressed_flag_source_reviewed (role target_metadata),committed_dictionary,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern. Target metadata: it describes the outcome's construction and therefore leaks it."
distressed_target_reviewed,The reviewed/canonical financial-distress target carried forward from the upstream panel for the predictor year t.,boolean_0_1,binary_0_1,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_upstream_source_panel,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Preserved as supplied by the upstream panel; the Stage121 dictionary records missing_policy = 'Preserve as supplied; no imputation was applied in this handoff.' Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.","Reviewed/canonical financial-distress target; 1=distressed, 0=not distressed.",project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=distressed_target_reviewed (role target),committed_dictionary,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern. It is the upstream reviewed target, retained for audit. The study's own outcome is FD_target_main_t_plus_1, not this column."
equity_negative_dummy,Binary flag at fiscal year t: equity is negative.,boolean_0_1,binary_0_1,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_upstream_source_panel,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Preserved as supplied by the upstream panel; the Stage121 dictionary records missing_policy = 'Preserve as supplied; no imputation was applied in this handoff.' Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",1 when equity is negative; otherwise 0.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=equity_negative_dummy (role binary_feature),committed_dictionary,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern. It restates the fd_negative_equity criterion, which is a component of FD_target_main."
fd_accumulated_loss,Accumulated-loss criterion at fiscal year t: accumulated loss at or above half of registered capital.,three_valued_1_0_missing,not_applicable,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_derived_stage122_target_construction,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Three-valued: an indeterminate criterion is recorded as missing and never collapsed to 0. Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",1 if accumulated_loss/registered_capital >= 0.5; 0 if < 0.5; missing if registered_capital <=0/missing OR accumulated_loss missing.,project/stage122/target_definition_stage122.csv,row criterion=fd_accumulated_loss :: rule,committed_target_definition,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern."
fd_article141_direct,Direct Article-141 evidence criterion at fiscal year t.,three_valued_1_0_missing,not_applicable,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_derived_stage122_target_construction,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Three-valued: an indeterminate criterion is recorded as missing and never collapsed to 0. Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",1 if direct Article-141 inclusion verified from a controlled source; 0 if non-inclusion verified; else missing. Stage121 has NO such source -> missing for ALL rows.,project/stage122/target_definition_stage122.csv,row criterion=fd_article141_direct :: rule,committed_target_definition,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern. It is also missing for EVERY row: no controlled Article-141 source existed. It therefore carries no information at all, and exists so the composite's non-blocking treatment of it stays inspectable."
fd_negative_equity,Negative-equity criterion at fiscal year t.,three_valued_1_0_missing,not_applicable,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_derived_stage122_target_construction,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Three-valued: an indeterminate criterion is recorded as missing and never collapsed to 0. Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",1 if equity<0; 0 if equity>=0; missing if equity missing.,project/stage122/target_definition_stage122.csv,row criterion=fd_negative_equity :: rule,committed_target_definition,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern."
fd_ocf_high_leverage,Combined criterion at fiscal year t: negative operating cash flow together with high leverage.,three_valued_1_0_missing,not_applicable,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_derived_stage122_target_construction,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Three-valued: an indeterminate criterion is recorded as missing and never collapsed to 0. Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",1 if OCF<0 AND liabilities/assets>0.70; definite 0 if OCF>=0 OR leverage<=0.70; missing otherwise (three-valued).,project/stage122/target_definition_stage122.csv,row criterion=fd_ocf_high_leverage :: rule,committed_target_definition,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern."
loss_dummy,Binary flag at fiscal year t: the source's loss condition is met.,boolean_0_1,binary_0_1,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_upstream_source_panel,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Preserved as supplied by the upstream panel; the Stage121 dictionary records missing_policy = 'Preserve as supplied; no imputation was applied in this handoff.' Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.",1 when loss condition is met under source rule; otherwise 0.,project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=loss_dummy (role binary_feature),committed_dictionary,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern. It is a component of the persistent-loss robustness target."
positive_target_reasons,"For a definite-positive predictor year t, the list of ALL criteria that were active, pipe-separated.",string,not_applicable,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_derived_stage122_target_construction,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Empty string for every row whose FD_target_main is not definitely 1. Empty means 'not a definite positive', never 'unknown reason'.","For every row with FD_target_main == 1, joins the active criteria among accumulated_loss, negative_equity, ocf_high_leverage and article141_direct with ' | '.",project/src/stage122.py,positive_target_reasons(),frozen_generator_code,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern. It states exactly why a row is positive, so it is the most direct target leak in the file."
target_missing_reason,"For a predictor year t whose target is missing, the exact inputs that blocked the determination.",string,not_applicable,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_derived_stage122_target_construction,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Empty string for every row whose FD_target_main is determinate. Empty means 'the target was determinable', never 'unknown'.","For every row with a missing FD_target_main, emits the tokens naming the unavailable inputs (for example missing_accumulated_loss_and_capital, missing_or_invalid_registered_capital).",project/src/stage122.py,target_missing_reason(),frozen_generator_code,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern. It is the audit trail for the three-valued outcome: 28 upstream rows are preserved as unknown rather than converted to a healthy zero."
target_status_reviewed,Status label describing how the upstream reviewed target was constructed for the predictor year t.,string,not_applicable,forbidden_from_model_matrix,forbidden_never_enters_the_model_feature_matrix_target_derived,M1_upstream_source_panel,author_derived_from_committed_project_rules,predictor_fiscal_year_t,"Preserved as supplied by the upstream panel; the Stage121 dictionary records missing_policy = 'Preserve as supplied; no imputation was applied in this handoff.' Missing is left missing. The Stage125 contract lists no_imputation_or_scaling among its explicit non-claims, so no released value was filled, scaled or reconstructed.","Status of reviewed target construction, carried forward unchanged from the upstream panel.",project/raw_handoff/financial_distress_programmer_handoff_stage121(1)/data_dictionary_stage121.csv,row column_name=target_status_reviewed (role target_metadata),committed_dictionary,"Target-derived. Using it as a predictor produces a model that predicts the outcome from the outcome. The role map marks it forbidden_from_model_matrix; check the role map, never a name pattern. Target metadata: it describes the outcome's construction and therefore leaks it."
